hour_index,hour_of_day,solar_kwh_per_mw,dc_ac_ratio,wind_kwh_per_wtg,location_name,latitude,longitude
247,7,141.41,1.4,0.0,Jodhpur,26.2389,73.0243
248,8,487.46,1.4,5.976655486501306,Jodhpur,26.2389,73.0243
249,9,782.79,1.4,50.19464625638814,Jodhpur,26.2389,73.0243
250,10,975.0,1.4,0.0,Jodhpur,26.2389,73.0243
251,11,1088.51,1.4,426.4273895793533,Jodhpur,26.2389,73.0243
252,12,1081.36,1.4,527.2136254767447,Jodhpur,26.2389,73.0243
253,13,1061.49,1.4,442.94699364323856,Jodhpur,26.2389,73.0243
254,14,926.26,1.4,625.6473917263628,Jodhpur,26.2389,73.0243
255,15,719.65,1.4,294.19817586635344,Jodhpur,26.2389,73.0243
256,16,432.4,1.4,830.3867357990669,Jodhpur,26.2389,73.0243
257,17,110.9,1.4,1074.0682839084693,Jodhpur,26.2389,73.0243
258,18,0.0,1.4,1434.120863778362,Jodhpur,26.2389,73.0243
259,19,0.0,1.4,2503.4433954441483,Jodhpur,26.2389,73.0243
260,20,0.0,1.4,2543.9128433709,Jodhpur,26.2389,73.0243
261,21,0.0,1.4,1537.9515970610269,Jodhpur,26.2389,73.0243
262,22,0.0,1.4,1174.8960554738896,Jodhpur,26.2389,73.0243
263,23,0.0,1.4,1075.4802796952736,Jodhpur,26.2389,73.0243
264,0,0.0,1.4,1329.6227848307851,Jodhpur,26.2389,73.0243
265,1,0.0,1.4,604.9360157228436,Jodhpur,26.2389,73.0243
266,2,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
267,3,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
268,4,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
269,5,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
270,6,0.0,1.4,305.4273962433926,Jodhpur,26.2389,73.0243
271,7,137.43,1.4,453.802382266624,Jodhpur,26.2389,73.0243
272,8,475.37,1.4,261.6010274221159,Jodhpur,26.2389,73.0243
273,9,766.9,1.4,262.0809391253355,Jodhpur,26.2389,73.0243
274,10,964.3,1.4,196.53370209304143,Jodhpur,26.2389,73.0243
275,11,1082.69,1.4,516.8370467394501,Jodhpur,26.2389,73.0243
276,12,1100.87,1.4,482.2777705717154,Jodhpur,26.2389,73.0243
277,13,1079.9,1.4,518.5221563838008,Jodhpur,26.2389,73.0243
278,14,959.03,1.4,444.9623851871542,Jodhpur,26.2389,73.0243
279,15,762.46,1.4,430.969186648568,Jodhpur,26.2389,73.0243
280,16,470.74,1.4,636.2575634387545,Jodhpur,26.2389,73.0243
