hour_index,hour_of_day,solar_kwh_per_mw,wind_kwh_per_wtg
709,13,1069.01,1222.7017107465588
710,14,956.65,1166.7567090724738
711,15,761.18,1793.2531696014469
712,16,483.24,2523.6131765703444
713,17,154.46,789.588979891077
714,18,0.0,933.365227521409
715,19,0.0,283.8400960561178
716,20,0.0,664.2698527688136
717,21,0.0,1464.403904036304
718,22,0.0,929.8384494311651
719,23,0.0,862.7438071138727
720,0,0.0,1352.7471713215195
721,1,0.0,969.3216717072391
722,2,0.0,1068.259041076464
723,3,0.0,686.6626920884372
724,4,0.0,416.90073655803616
725,5,0.0,200.27444998216896
726,6,0.0,108.98712778324024
727,7,125.56,0.0
728,8,455.35,0.0
729,9,754.67,0.0
730,10,964.42,0.0
731,11,1075.43,475.8460116035009
732,12,1066.92,565.1595269372713
733,13,1060.74,889.7095824015312
734,14,969.5,907.423898308916
735,15,772.75,675.5353472299181
736,16,489.34,456.186132899366
737,17,162.87,866.3970006091562
738,18,0.0,778.8778804007535
739,19,0.0,523.2657465089592
740,20,0.0,252.3647833500214
741,21,0.0,424.7952401486969
742,22,0.0,491.1828555970914
743,23,0.0,354.5657243632684
744,0,0.0,758.5248996699322
745,1,0.0,374.90862037483936
746,2,0.0,312.1420055674287
747,3,0.0,290.3367308402153
748,4,0.0,206.7302197608446
749,5,0.0,549.6659122119554
750,6,0.0,845.674642305606
751,7,133.8,326.07819163933624
752,8,478.49,309.9894621714438
753,9,782.4,164.15029493079513
754,10,992.05,134.71728760292172
755,11,1073.26,404.432469362515
756,12,1064.79,1069.342083449206
757,13,1059.17,947.0605944584438
758,14,986.86,850.2865862171012
759,15,786.28,713.9599355750946
760,16,502.21,911.5737403963756
761,17,171.3,660.7243497326167
762,18,0.0,706.9460964198897
763,19,0.0,1055.3683562584913
764,20,0.0,880.3490701538509
765,21,0.0,1309.5701811119122
766,22,0.0,1039.806630109941
767,23,0.0,651.718733611453
768,0,0.0,1185.7510708463565
769,1,0.0,1199.024730291921
770,2,0.0,101.08108983490484
771,3,0.0,0.0
772,4,0.0,0.0
773,5,0.0,0.0
774,6,0.0,161.7406341594981
775,7,125.05,476.10496525742775
776,8,446.22,223.08088968937588
777,9,736.94,224.5560830368266
778,10,938.39,323.5839848636131
779,11,1060.56,0.0
780,12,1067.13,358.46136383985424
781,13,1056.86,341.874966096844
782,14,935.99,508.3423029631611
783,15,745.08,772.3075023561368
784,16,473.1,1465.0302689885089
785,17,161.15,1349.2118726087351
786,18,0.0,1280.614531283907
787,19,0.0,1161.2148067241417
788,20,0.0,1729.6252442505677
789,21,0.0,1155.8849592091296
790,22,0.0,912.224702788983
791,23,0.0,1872.5565850433625
792,0,0.0,981.3058119271818
793,1,0.0,576.9628558888464
794,2,0.0,307.7573340456304
795,3,0.0,120.90417056745382
796,4,0.0,154.1800974157035
797,5,0.0,171.66546762419193
798,6,0.0,813.8636072093366
799,7,86.38,153.32499879470504
800,8,314.67,593.3350769487465
801,9,537.48,312.075129254517
802,10,697.05,298.780867217531
803,11,851.92,245.60508040889292
804,12,859.46,0.0
805,13,799.77,0.0
806,14,664.46,171.87241270188997
807,15,531.82,389.8838082086369
808,16,324.19,1572.8225857577131
809,17,99.94,1090.7258377850287
810,18,0.0,1068.4001859789562
811,19,0.0,1295.5489270038756
812,20,0.0,1483.2601000705315
813,21,0.0,1932.742286551819
814,22,0.0,1768.6988141755503
815,23,0.0,1895.028579736852
816,0,0.0,1568.9239123621655
817,1,0.0,1724.8587274462486
818,2,0.0,1952.5719568542345
819,3,0.0,1700.4485292091388
820,4,0.0,1125.74596013293
821,5,0.0,424.34650816159103
822,6,0.0,0.0
823,7,123.92,0.0
824,8,455.39,0.0
825,9,750.29,0.0
826,10,970.54,0.0
827,11,1090.29,0.0
828,12,1084.21,5.882382376274087
829,13,1079.09,0.0
830,14,968.04,0.0
831,15,769.19,170.44947813018652
832,16,474.5,301.2673054680687
833,17,158.2,118.9824339291244
834,18,0.0,163.2131604939903
835,19,0.0,293.70759571162034
836,20,0.0,1009.5402463054075
837,21,0.0,1830.659120766869
838,22,0.0,1718.014924992926
839,23,0.0,1495.5831991373184
840,0,0.0,1726.398778024474
841,1,0.0,1742.6344314142082
842,2,0.0,1309.1130083382948
843,3,0.0,1331.468143919416
844,4,0.0,955.0105973282804
845,5,0.0,741.3683318964835
846,6,0.0,406.3612823806366
847,7,128.88,571.1969885506426
848,8,455.89,422.7713055502157
849,9,747.17,130.4007010255749
850,10,947.64,0.0
851,11,1064.03,0.0
852,12,1073.37,356.7318118565506
853,13,1066.53,353.493788740837
854,14,938.0,531.5813598700361
855,15,750.97,511.9110052601032
856,16,477.71,506.47759657725896
857,17,165.95,928.2347750838084
858,18,0.0,1207.118674323644
859,19,0.0,1337.2649577106442
860,20,0.0,1893.5201756507183
861,21,0.0,2605.008490102511
862,22,0.0,2492.6477986603686
863,23,0.0,1251.5767731981423
